current density,FE
52.878788,0.617172
52.878788,0.625253
52.878788,0.633333
52.878788,0.641414
52.878788,0.649495
52.878788,0.657576
52.878788,0.665657
52.878788,0.673737
52.878788,0.681818
52.878788,0.689899
52.878788,0.697980
52.878788,0.706061
52.878788,0.714141
52.878788,0.722222
52.878788,0.730303
52.878788,0.738384
52.878788,0.746465
52.878788,0.754545
52.878788,0.762626
52.878788,0.770707
52.878788,0.778788
52.878788,0.786869
52.878788,0.794949
52.878788,0.803030
52.878788,0.811111
52.878788,0.819192
52.878788,0.827273
52.878788,0.835354
52.878788,0.843434
52.878788,0.851515
52.878788,0.859596
52.878788,0.867677
52.878788,0.875758
52.878788,0.883838
52.878788,0.891919
52.878788,0.900000
56.868687,0.100000
56.868687,0.108081
56.868687,0.116162
56.868687,0.124242
56.868687,0.132323
56.868687,0.140404
56.868687,0.148485
56.868687,0.156566
56.868687,0.164646
56.868687,0.172727
56.868687,0.180808
56.868687,0.188889
56.868687,0.196970
56.868687,0.205051
56.868687,0.213131
56.868687,0.221212
56.868687,0.229293
56.868687,0.237374
56.868687,0.245455
56.868687,0.253535
56.868687,0.261616
56.868687,0.269697
56.868687,0.277778
56.868687,0.285859
56.868687,0.293939
56.868687,0.302020
56.868687,0.310101
56.868687,0.318182
56.868687,0.326263
56.868687,0.334343
56.868687,0.342424
56.868687,0.350505
56.868687,0.358586
56.868687,0.366667
56.868687,0.374747
56.868687,0.382828
56.868687,0.390909
56.868687,0.398990
56.868687,0.407071
56.868687,0.415152
56.868687,0.423232
56.868687,0.431313
56.868687,0.439394
56.868687,0.447475
56.868687,0.455556
56.868687,0.463636
56.868687,0.471717
56.868687,0.479798
56.868687,0.487879
56.868687,0.495960
56.868687,0.504040
56.868687,0.512121
56.868687,0.520202
56.868687,0.528283
56.868687,0.536364
56.868687,0.544444
56.868687,0.552525
56.868687,0.560606
56.868687,0.568687
56.868687,0.576768
56.868687,0.584848
56.868687,0.592929
56.868687,0.601010
56.868687,0.609091
56.868687,0.617172
56.868687,0.625253
56.868687,0.633333
56.868687,0.641414
56.868687,0.649495
56.868687,0.657576
56.868687,0.665657
56.868687,0.673737
56.868687,0.681818
56.868687,0.689899
56.868687,0.697980
56.868687,0.706061
56.868687,0.714141
56.868687,0.722222
56.868687,0.730303
56.868687,0.738384
56.868687,0.746465
56.868687,0.754545
56.868687,0.762626
56.868687,0.770707
56.868687,0.778788
56.868687,0.786869
56.868687,0.794949
56.868687,0.803030
56.868687,0.811111
56.868687,0.819192
56.868687,0.827273
56.868687,0.835354
56.868687,0.843434
56.868687,0.851515
56.868687,0.859596
56.868687,0.867677
